Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Omri Casspi,,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5
Mark Bryant,87.4,3.6,3.2,2.5,2.3,2.3,2.1,2.1,1.6,1.1,1
Reggie Evans,87.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.3,1.3,0.2
Andrew DeClercq,86.9,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1
Matt Bullard,86.6,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2
J.R. Reid,86.3,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7
Sidney Green,86.2,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3
Othella Harrington,84.1,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8
Francisco García,83.1,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2
Charles Jones,82.9,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,0
Greg Anderson,82.7,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3
