Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mark McNamara,,1.2,0.7,0.6,0.4,0.1,0,0,-0.2
Eric Fernsten,72.9,1.2,1,0.5,0.5,0.2,0,NA,NA
Steve Hayes,68.5,1.2,0.9,0.3,0.3,0.2,NA,NA,NA
Greg Dreiling,65.5,1.1,0.6,0.5,0.4,0.2,0.2,0.1,0.1
Bob Elliott,65.1,1.6,0.8,0.7,NA,NA,NA,NA,NA
Roger Brown,65.0,0.9,0.7,0.4,0.2,0.1,NA,NA,NA
Greg Kite,64.3,2,0.8,0.7,0.3,0.1,0.1,0.1,0
Todd Fuller,60.6,0.7,0.7,0.6,0.2,0,NA,NA,NA
Melvin Ely,60.2,2,0.8,0.6,0.4,0.3,0.1,-0.1,-0.3
Jerome James,59.9,1.2,0.9,0.8,0.7,0.1,-0.1,-0.2,-0.5
Jawann Oldham,59.2,1.3,1.2,1,0.5,0.3,0,0,0
