Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Mark McNamara,,1.2,0.7,0.6,0.4,0.1,0,0,-0.2,NA,NA
Eric Fernsten,72.9,1.2,1,0.5,0.5,0.2,0,NA,NA,NA,NA
Steve Hayes,68.5,1.2,0.9,0.3,0.3,0.2,NA,NA,NA,NA,NA
Bob Elliott,65.1,1.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA
Roger Brown,65.0,0.9,0.7,0.4,0.2,0.1,NA,NA,NA,NA,NA
Todd Fuller,60.6,0.7,0.7,0.6,0.2,0,NA,NA,NA,NA,NA
Jerome James,58.8,1.2,0.9,0.8,0.7,0.1,0,-0.1,-0.2,-0.5,NA
Dick Cunningham,58.6,1.2,1,1,1,0,0,0,NA,NA,NA
Jawann Oldham,57.4,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Scott Lloyd,55.5,1.3,1,0.6,0.3,-0.1,-0.6,NA,NA,NA,NA
Stuart Gray,55.4,1.1,0.9,0.7,0.6,0.4,0,-0.4,NA,NA,NA
