Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,24,CHI,NBA,SF,1,0,12:00,2,4,0.5,0,1,0,0,0,NA,0,1,0,1,1,1,1,4
1991-92,26,CHI,NBA,SF,1,1,21:00,6,13,0.462,0,0,NA,2,3,0.667,4,4,1,2,1,1,0,14
1992-93,27,CHI,NBA,SF,1,1,29:00,4,14,0.286,0,2,0,2,3,0.667,2,5,4,5,2,0,4,10
1993-94,28,CHI,NBA,SF,1,1,31:00,9,15,0.6,5,9,0.556,6,10,0.6,0,11,2,4,1,2,2,29
1994-95,29,CHI,NBA,SF,1,1,30:00,5,15,0.333,2,6,0.333,0,0,NA,0,7,3,2,1,4,1,12
1995-96,30,CHI,NBA,SF,1,1,25:00,4,7,0.571,0,1,0,0,0,NA,2,8,5,3,0,6,0,8
1996-97,31,CHI,NBA,SF,1,1,25:00,4,9,0.444,0,3,0,0,0,NA,0,3,2,0,0,2,0,8
Career,NA,,NBA,,7,6,173,34,77,0.442,7,22,0.318,10,16,0.625,8,39,17,17,6,16,8,85
