Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,NYK,NBA,PF,50,NA,9.1,1.7,4.6,0.361,NA,NA,NA,1.7,4.6,0.361,0.361,0.5,0.7,0.703,NA,NA,2.4,0.5,NA,1.6,3.8
1967-68,23,SEA,NBA,C,36,NA,7.2,1.3,3.8,0.336,NA,NA,NA,1.3,3.8,0.336,0.336,0.6,0.9,0.645,NA,NA,1.6,0.4,NA,1.3,3.1
1968-69,24,KEN,ABA,PF,2,NA,12.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,1,1.5,0.667,0,2,2,0.5,2,0,2
Career,NA,,TOT,,88,NA,8.4,1.5,4.2,0.35,0,1,0,1.5,4.2,0.352,0.35,0.5,0.8,0.676,0,2,2.1,0.5,2,1.5,3.5
,NA,,NBA,,86,NA,8.3,1.5,4.3,0.351,NA,NA,NA,1.5,4.3,0.351,0.351,0.5,0.8,0.676,NA,NA,2.1,0.5,NA,1.5,3.5
,NA,,ABA,,2,NA,12.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,1,1.5,0.667,0,2,2,0.5,2,0,2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,50,NA,9.1,1.7,4.6,0.361,NA,NA,NA,1.7,4.6,0.361,0.361,0.5,0.7,0.703,NA,NA,2.4,0.5,NA,1.6,3.8
1 season,NA,SEA,NBA,,36,NA,7.2,1.3,3.8,0.336,NA,NA,NA,1.3,3.8,0.336,0.336,0.6,0.9,0.645,NA,NA,1.6,0.4,NA,1.3,3.1
1 season,NA,KEN,ABA,,2,NA,12.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,1,1.5,0.667,0,2,2,0.5,2,0,2
