,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,NYK,NBA,,6,,,,,,3,4,,,,,,,14
1967-68,23,SEA,NBA,,4,9,,,,,6,9,,,5,4,,6,12
1968-69,24,KEN,ABA,,1,,0,,,,1,2,,,,,,,3
Career,,,TOT,,6,,,,,,6,9,,,,,,,14
,,,NBA,,6,,,,,,6,9,,,,,,,14
,,,ABA,,1,,0,,,,1,2,,,,,,,3
,,,,,,,,,,,,,,,,,,,
1 Season,,NYK,NBA,,6,,,,,,3,4,,,,,,,14
1 Season,,SEA,NBA,,4,9,,,,,6,9,,,5,4,,6,12
1 Season,,KEN,ABA,,1,,0,,,,1,2,,,,,,,3
