Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,22,NYK,NBA,PF,50,453,8.5,0.39,NA,0.161,NA,NA,NA,7.4,NA,NA,NA,-0.9,0.2,-0.7,-0.073
1967-68,23,SEA,NBA,C,36,259,6.5,0.372,NA,0.226,NA,NA,NA,7,NA,NA,NA,-0.7,0.1,-0.6,-0.103
1968-69,24,KEN,ABA,PF,2,25,-1.3,0.376,0.5,0.75,NA,NA,7,5,42.9,13.8,NA,0,0,0,-0.002
Career,NA,,TOT,,88,737,7.4,0.383,0.005,0.191,NA,NA,7,7.1,42.9,13.8,NA,-1.6,0.3,-1.2,-0.081
,NA,,NBA,,86,712,7.8,0.383,NA,0.185,NA,NA,NA,7.2,NA,NA,NA,-1.5,0.3,-1.2,-0.084
,NA,,ABA,,2,25,-1.3,0.376,0.5,0.75,NA,NA,7,5,42.9,13.8,NA,0,0,0,-0.002
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,50,453,8.5,0.39,NA,0.161,NA,NA,NA,7.4,NA,NA,NA,-0.9,0.2,-0.7,-0.073
1 season,NA,SEA,NBA,,36,259,6.5,0.372,NA,0.226,NA,NA,NA,7,NA,NA,NA,-0.7,0.1,-0.6,-0.103
1 season,NA,KEN,ABA,,2,25,-1.3,0.376,0.5,0.75,NA,NA,7,5,42.9,13.8,NA,0,0,0,-0.002
