Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,NYK,NBA,PF,50,NA,453,6.6,18.3,0.361,NA,NA,NA,6.6,18.3,0.361,2.1,2.9,0.703,NA,NA,9.5,2,NA,6.5,15.3
1967-68,23,SEA,NBA,C,36,NA,259,6.4,19,0.336,NA,NA,NA,6.4,19,0.336,2.8,4.3,0.645,NA,NA,7.9,1.9,NA,6.7,15.6
1968-69,24,KEN,ABA,PF,2,NA,25,1.4,5.8,0.25,0,2.9,0,1.4,2.9,0.5,2.9,4.3,0.667,0,5.8,5.8,1.4,5.8,0,5.8
Career,NA,,TOT,,88,NA,737,6.4,18.1,0.35,0,2.9,0,6.4,18,0.352,2.3,3.5,0.676,0,5.8,8.8,2,5.8,6.4,15
,NA,,NBA,,86,NA,712,6.5,18.6,0.351,NA,NA,NA,6.5,18.6,0.351,2.3,3.4,0.676,NA,NA,8.9,2,NA,6.6,15.4
,NA,,ABA,,2,NA,25,1.4,5.8,0.25,0,2.9,0,1.4,2.9,0.5,2.9,4.3,0.667,0,5.8,5.8,1.4,5.8,0,5.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,50,NA,453,6.6,18.3,0.361,NA,NA,NA,6.6,18.3,0.361,2.1,2.9,0.703,NA,NA,9.5,2,NA,6.5,15.3
1 season,NA,SEA,NBA,,36,NA,259,6.4,19,0.336,NA,NA,NA,6.4,19,0.336,2.8,4.3,0.645,NA,NA,7.9,1.9,NA,6.7,15.6
1 season,NA,KEN,ABA,,2,NA,25,1.4,5.8,0.25,0,2.9,0,1.4,2.9,0.5,2.9,4.3,0.667,0,5.8,5.8,1.4,5.8,0,5.8
