Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,22,NYK,NBA,PF,2,16,0.7,0.19,NA,0.286,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.268
Career,NA,,NBA,,2,16,0.7,0.19,NA,0.286,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.268
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYK,NBA,,2,16,0.7,0.19,NA,0.286,NA,NA,NA,0,NA,NA,NA,-0.1,0,-0.1,-0.268
