Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Mo Williams,,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1.1,1,0.2,NA,NA
Jon Barry,84.6,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1,NA
Leandro Barbosa,83.7,8.2,5.5,5,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4,NA
Vinny Del Negro,83.6,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0,NA,NA,NA
Wesley Person,82.7,10.3,6.9,5.2,4,3.8,3.7,3.3,2.6,1.6,1.3,1.2,NA,NA,NA,NA
Brevin Knight,81.4,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,NA,NA,NA
Flynn Robinson,79.8,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA,NA,NA,NA
Derek Anderson,79.4,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3,NA,NA,NA,NA
Eric Snow,78.0,8.4,6.1,5.5,5.5,3.8,3.8,2.8,2.1,1.9,1.9,1.3,0.5,-0.1,NA,NA
Kendall Gill,77.7,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
Chuck Williams,77.5,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA,NA,NA,NA,NA
