Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Donté Greene,,1.5,0.7,0.5,-1.1
Marcus Fizer,57.4,1.4,1.1,0.5,-0.7
Anthony Avent,53.9,1.5,0.4,0.3,-1.2
Gary Gregor,49.5,1.4,1.1,0.5,-0.4
Lonny Baxter,45.2,1.5,0.9,0.7,-0.2
Reggie Slater,44.5,1.5,0.8,0.4,-0.1
Calvin Garrett,44.2,1.4,0.6,0.6,0
Art Spector,43.6,1.4,1,0.6,-0.2
Hilton Armstrong,38.2,1.5,1.2,0.5,-0.1
Tony Campbell,38.0,1.4,0.4,0.4,-0.3
Ariel Maughan,37.7,1.5,1.2,1,-0.5
