Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Randy Woods,,0.3,0.2,0.1,0.1
Anthony Roberson,83.8,0.2,0.2,0.1,NA
Drew Barry,76.4,0.3,0.2,0.1,NA
Lance Blanks,66.5,0.4,0.2,0.1,NA
Derrick Dial,61.0,0.4,0.1,0.1,0.1
Milt Williams,59.9,0.4,0.2,0.1,0.1
Julyan Stone,57.5,0.4,0.3,0.2,0.1
Bob Duffy,55.6,0.3,0.1,0.1,NA
Jorge Gutiérrez,53.2,0.3,0.3,0.2,NA
R.J. Hunter,52.8,0.3,0.1,0,0
Mike Price,52.7,0.2,0.2,0.1,NA
