Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,22,CIN,NBA,PF,52,373,7.9,0.376,NA,0.293,NA,NA,NA,NA,NA,NA,NA,-0.6,0.3,-0.3,-0.043
1963-64,23,CIN,NBA,PF,49,513,10.9,0.43,NA,0.271,NA,NA,NA,NA,NA,NA,NA,-0.2,0.5,0.2,0.022
1964-65,24,CIN,NBA,PF,79,1372,13,0.495,NA,0.381,NA,NA,NA,8.3,NA,NA,NA,1.7,0.7,2.5,0.087
1965-66,25,TOT,NBA,PF,59,602,9.5,0.434,NA,0.456,NA,NA,NA,4.2,NA,NA,NA,-0.2,0.6,0.4,0.035
1965-66,25,CIN,NBA,PF,4,36,8.1,0.376,NA,0.375,NA,NA,NA,6.5,NA,NA,NA,0,0,0,-0.006
1965-66,25,SFW,NBA,PF,55,566,9.6,0.436,NA,0.459,NA,NA,NA,4,NA,NA,NA,-0.2,0.6,0.4,0.037
1966-67,26,SFW,NBA,PF,40,348,13.4,0.449,NA,0.347,NA,NA,NA,12.1,NA,NA,NA,-0.1,0.5,0.5,0.068
1967-68,27,SEA,NBA,PF,73,897,8.5,0.444,NA,0.218,NA,NA,NA,10.3,NA,NA,NA,-0.2,0.5,0.2,0.012
1968-69,28,TOT,NBA,PF,17,113,6.7,0.341,NA,0.429,NA,NA,NA,12.5,NA,NA,NA,-0.3,0.1,-0.2,-0.077
1968-69,28,BOS,NBA,PF,7,43,7.8,0.323,NA,0.316,NA,NA,NA,12.6,NA,NA,NA,-0.2,0.1,-0.1,-0.065
1968-69,28,DET,NBA,PF,10,70,6.1,0.354,NA,0.522,NA,NA,NA,12.5,NA,NA,NA,-0.1,0,-0.1,-0.084
1969-70,29,KEN,ABA,PF,84,1375,11.5,0.474,0.012,0.221,NA,NA,11.9,23.6,23.8,12.5,NA,0.3,2.5,2.8,0.099
Career,NA,,TOT,,453,5593,10.9,0.454,0.002,0.315,NA,NA,11.9,13,23.8,12.5,NA,0.4,5.8,6.2,0.053
,NA,,NBA,,369,4218,10.7,0.45,NA,0.335,NA,NA,NA,8.6,NA,NA,NA,0.1,3.2,3.4,0.038
,NA,,ABA,,84,1375,11.5,0.474,0.012,0.221,NA,NA,11.9,23.6,23.8,12.5,NA,0.3,2.5,2.8,0.099
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,184,2294,11.6,0.461,NA,0.341,NA,NA,NA,8.3,NA,NA,NA,0.9,1.5,2.4,0.05
2 seasons,NA,SFW,NBA,,95,914,11.1,0.442,NA,0.406,NA,NA,NA,7.1,NA,NA,NA,-0.2,1.2,0.9,0.049
1 season,NA,KEN,ABA,,84,1375,11.5,0.474,0.012,0.221,NA,NA,11.9,23.6,23.8,12.5,NA,0.3,2.5,2.8,0.099
1 season,NA,SEA,NBA,,73,897,8.5,0.444,NA,0.218,NA,NA,NA,10.3,NA,NA,NA,-0.2,0.5,0.2,0.012
1 season,NA,DET,NBA,,10,70,6.1,0.354,NA,0.522,NA,NA,NA,12.5,NA,NA,NA,-0.1,0,-0.1,-0.084
1 season,NA,BOS,NBA,,7,43,7.8,0.323,NA,0.316,NA,NA,NA,12.6,NA,NA,NA,-0.2,0.1,-0.1,-0.065
