,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,,2,,,,,,1,,,,,,,3,5
1963-64,23,CIN,NBA,,3,5,,,,,0,0,,,3,,,2,6
1964-65,24,CIN,NBA,,5,8,,,,,3,3,,,4,1,,4,10
1966-67,26,SFW,NBA,,2,7,,,,,0,2,,,5,1,,2,4
1969-70,29,KEN,ABA,,5,,0,,,,1,2,,,,,,,10
Career,,,TOT,,5,,,,,,3,,,,,,,,10
,,,NBA,,5,,,,,,3,,,,,,,4,10
,,,ABA,,5,,0,,,,1,2,,,,,,,10
,,,,,,,,,,,,,,,,,,,
1 Season,,KEN,ABA,,5,,0,,,,1,2,,,,,,,10
3 Seasons,,CIN,NBA,,5,,,,,,3,,,,,,,4,10
1 Season,,SFW,NBA,,2,7,,,,,0,2,,,5,1,,2,4
