,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,,6,,,,,,5,,,,,,,,13
1963-64,23,CIN,NBA,,9,,,,,,5,7,,,,,,,18
1964-65,24,CIN,NBA,,8,,,,,,7,9,,,,,,,18
1965-66,25,TOT,NBA,,5,,,,,,3,7,,,,,,,12
1965-66,25,CIN,NBA,,1,4,,,,,1,3,,,5,,,3,3
1965-66,25,SFW,NBA,,5,,,,,,3,7,,,,,,,12
1966-67,26,SFW,NBA,,12,,,,,,4,9,,,,,,,24
1967-68,27,SEA,NBA,,7,,,,,,4,7,,,,,,,16
1968-69,28,TOT,NBA,,2,,,,,,2,5,,,,,,,6
1968-69,28,BOS,NBA,,2,,,,,,0,4,,,,,,,4
1968-69,28,DET,NBA,,2,,,,,,2,5,,,,,,,6
1969-70,29,KEN,ABA,,8,,1,,,,4,5,,,,,,,17
Career,,,TOT,,12,,,,,,7,,,,,,,,24
,,,NBA,,12,,,,,,7,,,,,,,,24
,,,ABA,,8,,1,,,,4,5,,,,,,,17
,,,,,,,,,,,,,,,,,,,
4 Seasons,,CIN,NBA,,9,,,,,,7,,,,,,,,18
2 Seasons,,SFW,NBA,,12,,,,,,4,9,,,,,,,24
1 Season,,KEN,ABA,,8,,1,,,,4,5,,,,,,,17
1 Season,,SEA,NBA,,7,,,,,,4,7,,,,,,,16
1 Season,,DET,NBA,,2,,,,,,2,5,,,,,,,6
1 Season,,BOS,NBA,,2,,,,,,0,4,,,,,,,4
