Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,22,CIN,NBA,PF,5,21,27.9,0.67,NA,0.556,NA,NA,NA,24.9,NA,NA,NA,0.1,0,0.1,0.305
1963-64,23,CIN,NBA,PF,2,10,21,0.5,NA,0,NA,NA,NA,18.8,NA,NA,NA,0,0,0,0.145
1964-65,24,CIN,NBA,PF,4,39,8.7,0.443,NA,0.294,NA,NA,NA,3.8,NA,NA,NA,0,0,0,-0.01
1966-67,26,SFW,NBA,PF,4,14,10.4,0.288,NA,0.154,NA,NA,NA,10.4,NA,NA,NA,-0.1,0,-0.1,-0.268
1969-70,29,KEN,ABA,PF,12,211,7.8,0.401,0.023,0.163,NA,NA,13.5,24.1,23.3,10.8,NA,-0.2,0.2,0.1,0.015
Career,NA,,TOT,,27,295,9.9,0.431,0.011,0.216,NA,NA,13.5,20.6,23.3,10.8,NA,-0.2,0.3,0.1,0.023
,NA,,NBA,,15,84,15.2,0.457,NA,0.267,NA,NA,NA,12,NA,NA,NA,0,0.1,0.1,0.044
,NA,,ABA,,12,211,7.8,0.401,0.023,0.163,NA,NA,13.5,24.1,23.3,10.8,NA,-0.2,0.2,0.1,0.015
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,12,211,7.8,0.401,0.023,0.163,NA,NA,13.5,24.1,23.3,10.8,NA,-0.2,0.2,0.1,0.015
3 seasons,NA,CIN,NBA,,11,70,16.2,0.522,NA,0.313,NA,NA,NA,12.3,NA,NA,NA,0.1,0,0.2,0.106
1 season,NA,SFW,NBA,,4,14,10.4,0.288,NA,0.154,NA,NA,NA,10.4,NA,NA,NA,-0.1,0,-0.1,-0.268
