Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,PF,52,NA,373,43,133,0.323,NA,NA,NA,43,133,0.323,0.323,27,39,0.692,NA,NA,105,42,NA,78,113
1963-64,23,CIN,NBA,PF,49,NA,513,85,210,0.405,NA,NA,NA,85,210,0.405,0.405,32,57,0.561,NA,NA,149,29,NA,78,202
1964-65,24,CIN,NBA,PF,79,NA,1372,224,512,0.438,NA,NA,NA,224,512,0.438,0.438,144,195,0.738,NA,NA,333,84,NA,203,592
1965-66,25,TOT,NBA,PF,59,NA,602,81,193,0.42,NA,NA,NA,81,193,0.42,0.42,39,88,0.443,NA,NA,192,20,NA,81,201
1965-66,25,CIN,NBA,PF,4,NA,36,3,8,0.375,NA,NA,NA,3,8,0.375,0.375,1,3,0.333,NA,NA,13,2,NA,4,7
1965-66,25,SFW,NBA,PF,55,NA,566,78,185,0.422,NA,NA,NA,78,185,0.422,0.422,38,85,0.447,NA,NA,179,18,NA,77,194
1966-67,26,SFW,NBA,PF,40,NA,348,75,167,0.449,NA,NA,NA,75,167,0.449,0.449,23,58,0.397,NA,NA,103,32,NA,51,173
1967-68,27,SEA,NBA,PF,73,NA,897,130,285,0.456,NA,NA,NA,130,285,0.456,0.456,17,62,0.274,NA,NA,204,75,NA,136,277
1968-69,28,TOT,NBA,PF,17,NA,113,15,42,0.357,NA,NA,NA,15,42,0.357,0.357,4,18,0.222,NA,NA,25,11,NA,14,34
1968-69,28,BOS,NBA,PF,7,NA,43,7,19,0.368,NA,NA,NA,7,19,0.368,0.368,0,6,0,NA,NA,14,4,NA,6,14
1968-69,28,DET,NBA,PF,10,NA,70,8,23,0.348,NA,NA,NA,8,23,0.348,0.348,4,12,0.333,NA,NA,11,7,NA,8,20
1969-70,29,KEN,ABA,PF,84,NA,1375,158,330,0.479,1,4,0.25,157,326,0.482,0.48,26,73,0.356,140,234,374,249,113,234,343
Career,NA,,TOT,,453,NA,5593,811,1872,0.433,1,4,0.25,810,1868,0.434,0.433,312,590,0.529,140,234,1485,542,113,875,1935
,NA,,NBA,,369,NA,4218,653,1542,0.423,NA,NA,NA,653,1542,0.423,0.423,286,517,0.553,NA,NA,1111,293,NA,641,1592
,NA,,ABA,,84,NA,1375,158,330,0.479,1,4,0.25,157,326,0.482,0.48,26,73,0.356,140,234,374,249,113,234,343
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,184,NA,2294,355,863,0.411,NA,NA,NA,355,863,0.411,0.411,204,294,0.694,NA,NA,600,157,NA,363,914
2 seasons,NA,SFW,NBA,,95,NA,914,153,352,0.435,NA,NA,NA,153,352,0.435,0.435,61,143,0.427,NA,NA,282,50,NA,128,367
1 season,NA,KEN,ABA,,84,NA,1375,158,330,0.479,1,4,0.25,157,326,0.482,0.48,26,73,0.356,140,234,374,249,113,234,343
1 season,NA,SEA,NBA,,73,NA,897,130,285,0.456,NA,NA,NA,130,285,0.456,0.456,17,62,0.274,NA,NA,204,75,NA,136,277
1 season,NA,DET,NBA,,10,NA,70,8,23,0.348,NA,NA,NA,8,23,0.348,0.348,4,12,0.333,NA,NA,11,7,NA,8,20
1 season,NA,BOS,NBA,,7,NA,43,7,19,0.368,NA,NA,NA,7,19,0.368,0.368,0,6,0,NA,NA,14,4,NA,6,14
