Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,PF,52,NA,373,4.2,12.8,0.323,NA,NA,NA,4.2,12.8,0.323,2.6,3.8,0.692,NA,NA,10.1,4.1,NA,7.5,10.9
1963-64,23,CIN,NBA,PF,49,NA,513,6,14.7,0.405,NA,NA,NA,6,14.7,0.405,2.2,4,0.561,NA,NA,10.5,2,NA,5.5,14.2
1964-65,24,CIN,NBA,PF,79,NA,1372,5.9,13.4,0.438,NA,NA,NA,5.9,13.4,0.438,3.8,5.1,0.738,NA,NA,8.7,2.2,NA,5.3,15.5
1965-66,25,TOT,NBA,PF,59,NA,602,4.8,11.5,0.42,NA,NA,NA,4.8,11.5,0.42,2.3,5.3,0.443,NA,NA,11.5,1.2,NA,4.8,12
1965-66,25,CIN,NBA,PF,4,NA,36,3,8,0.375,NA,NA,NA,3,8,0.375,1,3,0.333,NA,NA,13,2,NA,4,7
1965-66,25,SFW,NBA,PF,55,NA,566,5,11.8,0.422,NA,NA,NA,5,11.8,0.422,2.4,5.4,0.447,NA,NA,11.4,1.1,NA,4.9,12.3
1966-67,26,SFW,NBA,PF,40,NA,348,7.8,17.3,0.449,NA,NA,NA,7.8,17.3,0.449,2.4,6,0.397,NA,NA,10.7,3.3,NA,5.3,17.9
1967-68,27,SEA,NBA,PF,73,NA,897,5.2,11.4,0.456,NA,NA,NA,5.2,11.4,0.456,0.7,2.5,0.274,NA,NA,8.2,3,NA,5.5,11.1
1968-69,28,TOT,NBA,PF,17,NA,113,4.8,13.4,0.357,NA,NA,NA,4.8,13.4,0.357,1.3,5.7,0.222,NA,NA,8,3.5,NA,4.5,10.8
1968-69,28,BOS,NBA,PF,7,NA,43,5.9,15.9,0.368,NA,NA,NA,5.9,15.9,0.368,0,5,0,NA,NA,11.7,3.3,NA,5,11.7
1968-69,28,DET,NBA,PF,10,NA,70,4.1,11.8,0.348,NA,NA,NA,4.1,11.8,0.348,2.1,6.2,0.333,NA,NA,5.7,3.6,NA,4.1,10.3
1969-70,29,KEN,ABA,PF,84,NA,1375,4.1,8.6,0.479,0,0.1,0.25,4.1,8.5,0.482,0.7,1.9,0.356,3.7,6.1,9.8,6.5,3,6.1,9
Career,NA,,TOT,,453,NA,5593,5.2,12,0.433,0,0.1,0.25,5.2,12,0.434,2,3.8,0.529,3.7,6.1,9.6,3.5,3,5.6,12.5
,NA,,NBA,,369,NA,4218,5.6,13.2,0.423,NA,NA,NA,5.6,13.2,0.423,2.4,4.4,0.553,NA,NA,9.5,2.5,NA,5.5,13.6
,NA,,ABA,,84,NA,1375,4.1,8.6,0.479,0,0.1,0.25,4.1,8.5,0.482,0.7,1.9,0.356,3.7,6.1,9.8,6.5,3,6.1,9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,184,NA,2294,5.6,13.5,0.411,NA,NA,NA,5.6,13.5,0.411,3.2,4.6,0.694,NA,NA,9.4,2.5,NA,5.7,14.3
2 seasons,NA,SFW,NBA,,95,NA,914,6,13.9,0.435,NA,NA,NA,6,13.9,0.435,2.4,5.6,0.427,NA,NA,11.1,2,NA,5,14.5
1 season,NA,KEN,ABA,,84,NA,1375,4.1,8.6,0.479,0,0.1,0.25,4.1,8.5,0.482,0.7,1.9,0.356,3.7,6.1,9.8,6.5,3,6.1,9
1 season,NA,SEA,NBA,,73,NA,897,5.2,11.4,0.456,NA,NA,NA,5.2,11.4,0.456,0.7,2.5,0.274,NA,NA,8.2,3,NA,5.5,11.1
1 season,NA,DET,NBA,,10,NA,70,4.1,11.8,0.348,NA,NA,NA,4.1,11.8,0.348,2.1,6.2,0.333,NA,NA,5.7,3.6,NA,4.1,10.3
1 season,NA,BOS,NBA,,7,NA,43,5.9,15.9,0.368,NA,NA,NA,5.9,15.9,0.368,0,5,0,NA,NA,11.7,3.3,NA,5,11.7
