Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,PF,5,NA,21,12,15.4,0.778,NA,NA,NA,12,15.4,0.778,1.7,8.6,0.2,NA,NA,17.1,5.1,NA,6.9,25.7
1963-64,23,CIN,NBA,PF,2,NA,10,10.8,21.6,0.5,NA,NA,NA,10.8,21.6,0.5,0,0,NA,NA,NA,14.4,3.6,NA,7.2,21.6
1964-65,24,CIN,NBA,PF,4,NA,39,6.5,15.7,0.412,NA,NA,NA,6.5,15.7,0.412,2.8,4.6,0.6,NA,NA,8.3,0.9,NA,7.4,15.7
1966-67,26,SFW,NBA,PF,4,NA,14,10.3,33.4,0.308,NA,NA,NA,10.3,33.4,0.308,0,5.1,0,NA,NA,23.1,2.6,NA,5.1,20.6
1969-70,29,KEN,ABA,PF,12,NA,211,3.1,7.3,0.419,0,0.2,0,3.1,7.2,0.429,0.2,1.2,0.143,NA,NA,10.4,6.7,2.4,7.7,6.3
Career,NA,,TOT,,27,NA,295,4.8,10.7,0.443,0,0.2,0,4.8,10.6,0.448,0.6,2.3,0.263,NA,NA,11.3,5.5,2.4,7.4,10.1
,NA,,NBA,,15,NA,84,9,19.3,0.467,NA,NA,NA,9,19.3,0.467,1.7,5.1,0.333,NA,NA,13.7,2.6,NA,6.9,19.7
,NA,,ABA,,12,NA,211,3.1,7.3,0.419,0,0.2,0,3.1,7.2,0.429,0.2,1.2,0.143,NA,NA,10.4,6.7,2.4,7.7,6.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,12,NA,211,3.1,7.3,0.419,0,0.2,0,3.1,7.2,0.429,0.2,1.2,0.143,NA,NA,10.4,6.7,2.4,7.7,6.3
3 seasons,NA,CIN,NBA,,11,NA,70,8.7,16.5,0.531,NA,NA,NA,8.7,16.5,0.531,2.1,5.1,0.4,NA,NA,11.8,2.6,NA,7.2,19.5
1 season,NA,SFW,NBA,,4,NA,14,10.3,33.4,0.308,NA,NA,NA,10.3,33.4,0.308,0,5.1,0,NA,NA,23.1,2.6,NA,5.1,20.6
