Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,CIN,NBA,PF,5,NA,21,7,9,0.778,NA,NA,NA,7,9,0.778,0.778,1,5,0.2,NA,NA,10,3,NA,4,15
1963-64,23,CIN,NBA,PF,2,NA,10,3,6,0.5,NA,NA,NA,3,6,0.5,0.5,0,0,NA,NA,NA,4,1,NA,2,6
1964-65,24,CIN,NBA,PF,4,NA,39,7,17,0.412,NA,NA,NA,7,17,0.412,0.412,3,5,0.6,NA,NA,9,1,NA,8,17
1966-67,26,SFW,NBA,PF,4,NA,14,4,13,0.308,NA,NA,NA,4,13,0.308,0.308,0,2,0,NA,NA,9,1,NA,2,8
1969-70,29,KEN,ABA,PF,12,NA,211,18,43,0.419,0,1,0,18,42,0.429,0.419,1,7,0.143,NA,NA,61,39,14,45,37
Career,NA,,TOT,,27,NA,295,39,88,0.443,0,1,0,39,87,0.448,0.443,5,19,0.263,NA,NA,93,45,14,61,83
,NA,,NBA,,15,NA,84,21,45,0.467,NA,NA,NA,21,45,0.467,0.467,4,12,0.333,NA,NA,32,6,NA,16,46
,NA,,ABA,,12,NA,211,18,43,0.419,0,1,0,18,42,0.429,0.419,1,7,0.143,NA,NA,61,39,14,45,37
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,KEN,ABA,,12,NA,211,18,43,0.419,0,1,0,18,42,0.429,0.419,1,7,0.143,NA,NA,61,39,14,45,37
3 seasons,NA,CIN,NBA,,11,NA,70,17,32,0.531,NA,NA,NA,17,32,0.531,0.531,4,10,0.4,NA,NA,23,5,NA,14,38
1 season,NA,SFW,NBA,,4,NA,14,4,13,0.308,NA,NA,NA,4,13,0.308,0.308,0,2,0,NA,NA,9,1,NA,2,8
