Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bud Olsen,,2.8,2.5,0.5,0.4,0.2,0.2,-0.2,-0.3
Stanislav Medvedenko,75.9,3,1.8,0.5,0.4,0.2,0.1,0,NA
Renaldo Balkman,75.5,2.8,2.6,1.3,0.3,0.1,0,NA,NA
Mark Strickland,75.4,2.8,2.2,1,0.6,0.5,0,0,0
Dave Lattin,74.1,3.2,2,0.6,0.4,0.2,NA,NA,NA
Bruce Seals,73.2,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Tom Tolbert,70.5,2.7,2.5,1.3,0.1,0,0,0,NA
Lee Nailon,69.8,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA
Lou Amundson,68.7,2.9,1.8,1,0.6,0.1,0.1,0.1,0.1
Darko Miličić,68.6,3.3,1.9,1.2,0.7,0.2,0.2,-0.2,-0.2
Mirza Teletović,67.6,3.8,2.7,0.9,0.6,0.5,0.3,NA,NA
