,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,TOT,ABA,,9,,2,,,,6,8,,,,,,,,20
1967-68,24,ANA,ABA,,9,,2,,,,6,8,,,,,,,,20
1967-68,24,DNR,ABA,,7,,2,,,,3,3,,,,,,,,15
1968-69,25,DNR,ABA,,7,,2,,,,6,7,,,,,,,,17
1969-70,26,DNR,ABA,,9,,4,,,,9,9,,,,,,,,21
1970-71,27,TOT,ABA,,7,,4,,,,5,6,,,,,,,,17
1970-71,27,UTS,ABA,,7,,4,,,,5,6,,,,,,,,17
1970-71,27,NYA,ABA,,6,,2,,,,5,5,,,,,,,,15
1971-72,28,DLC,ABA,,5,,1,,,,4,5,,,,,,,,12
Career,,,,,9,,4,,,,9,9,,,,,,,,21
3 Seasons,,DNR,ABA,,9,,4,,,,9,9,,,,,,,,21
2 Seasons,,"ANA,UTS",ABA,,9,,4,,,,6,8,,,,,,,,20
1 Season,,NYA,ABA,,6,,2,,,,5,5,,,,,,,,15
1 Season,,DLC,ABA,,5,,1,,,,4,5,,,,,,,,12
