Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,TOT,ABA,PG,64,NA,1020,5.3,14.3,0.371,0.5,1.9,0.241,4.8,12.4,0.391,1.7,2.3,0.766,NA,NA,3.7,4.7,NA,4.2,3,12.8
1967-68,24,ANA,ABA,PG,23,NA,622,4.8,12.3,0.39,0.5,1.4,0.333,4.3,10.9,0.397,1.7,2.3,0.744,NA,NA,4.2,4.3,NA,4,2.7,11.7
1967-68,24,DNR,ABA,PG,41,NA,398,6.1,17.3,0.351,0.5,2.7,0.167,5.6,14.6,0.385,1.8,2.3,0.8,NA,NA,3.1,5.3,NA,4.5,3.3,14.4
1968-69,25,DNR,ABA,PG,59,NA,979,3.9,10.2,0.386,0.2,1.1,0.161,3.8,9,0.415,2.5,3.1,0.812,0.5,2.9,3.4,5,NA,3.6,3.8,10.6
1969-70,26,DNR,ABA,PG,83,NA,2461,4.4,11.3,0.386,0.9,2.6,0.354,3.5,8.7,0.395,2.2,2.8,0.786,0.8,2.6,3.4,6.5,NA,3,3,11.9
1970-71,27,TOT,ABA,PG,80,NA,1562,4.1,11.2,0.366,0.4,2,0.205,3.7,9.2,0.401,1.8,2.2,0.823,0.9,2.4,3.3,5.8,NA,3.3,2.9,10.4
1970-71,27,UTS,ABA,PG,38,NA,983,4.2,12.3,0.344,0.5,2.7,0.187,3.7,9.6,0.389,1.7,2.2,0.797,1,2.3,3.3,5.7,NA,3.4,2.8,10.7
1970-71,27,NYA,ABA,PG,42,NA,579,3.9,9.3,0.413,0.2,0.8,0.308,3.6,8.5,0.423,2,2.3,0.865,0.6,2.7,3.4,6,NA,3.2,3.1,9.9
1971-72,28,DLC,ABA,PG,20,NA,261,4.1,11.9,0.349,0.4,1,0.429,3.7,10.9,0.342,2.3,2.8,0.85,1.1,2.5,3.6,5,NA,1.8,2.6,11
Career,NA,,ABA,,306,NA,6283,4.4,11.6,0.377,0.6,2.1,0.285,3.8,9.6,0.396,2.1,2.6,0.799,0.8,2.6,3.4,5.7,NA,3.3,3.1,11.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DNR,ABA,,183,NA,3838,4.4,11.7,0.381,0.7,2.2,0.305,3.8,9.4,0.398,2.3,2.8,0.795,0.7,2.7,3.4,6,NA,3.3,3.2,11.8
2 seasons,NA,"ANA,UTS",ABA,,61,NA,1605,4.5,12.3,0.362,0.5,2.2,0.222,4,10.1,0.392,1.7,2.2,0.776,1,2.3,3.6,5.1,NA,3.7,2.8,11.1
1 season,NA,NYA,ABA,,42,NA,579,3.9,9.3,0.413,0.2,0.8,0.308,3.6,8.5,0.423,2,2.3,0.865,0.6,2.7,3.4,6,NA,3.2,3.1,9.9
1 season,NA,DLC,ABA,,20,NA,261,4.1,11.9,0.349,0.4,1,0.429,3.7,10.9,0.342,2.3,2.8,0.85,1.1,2.5,3.6,5,NA,1.8,2.6,11
