Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jeffrey Congdon,,4.3,0.9,0.7,0.3,0
Reggie Bullock,86.4,4.2,1.2,1,0.2,0.1
Ron Perry,82.1,4.4,1.4,0.3,NA,NA
John Barnhill,81.2,4.6,1.1,1,0.7,0.4
Ronnie Lester,80.1,3.9,1.7,0.7,0.2,0
Darrick Martin,78.2,4.6,1.9,0.5,0.2,0.1
Jack McMahon,77.8,4.7,1.3,0.8,-0.2,-0.2
D'Angelo Russell,76.9,5,1.3,0.4,0,NA
Earl Boykins,75.8,3.5,1,0.8,0.3,-0.3
Malik Beasley,74.4,4.5,0.3,0.2,NA,NA
Terry Dehere,73.3,5,1.2,1,0.5,-0.4
