,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,TOT,ABA,,3,,1,,,,1,4,,,,,,,,8
1967-68,24,DNR,ABA,,3,,1,,,,1,4,,,,,,,,8
1968-69,25,DNR,ABA,,8,,0,,,,6,6,,,,,,,,22
1969-70,26,DNR,ABA,,6,,2,,,,6,8,,,,,,,,18
1970-71,27,TOT,ABA,,5,,0,,,,4,4,,,,,,,,14
1970-71,27,NYA,ABA,,5,,0,,,,4,4,,,,,,,,14
Career,,,,,8,,2,,,,6,8,,,,,,,,22
3 Seasons,,DNR,ABA,,8,,2,,,,6,8,,,,,,,,22
1 Season,,NYA,ABA,,5,,0,,,,4,4,,,,,,,,14
