Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,TOT,ABA,PG,64,1020,7,0.419,0.134,0.158,NA,NA,4.6,19,NA,21.6,20.1,NA,-0.5,0.8,0.3,0.014
1967-68,24,ANA,ABA,PG,23,622,7,0.441,0.113,0.183,NA,NA,5.1,16.7,NA,23.1,17.4,NA,0,0.2,0.2,0.016
1967-68,24,DNR,ABA,PG,41,398,6.9,0.394,0.157,0.131,NA,NA,4,22.5,NA,19.8,24.4,NA,-0.6,0.7,0.1,0.012
1968-69,25,DNR,ABA,PG,59,979,7.1,0.458,0.112,0.307,NA,NA,4.3,17.3,NA,23.6,15.7,NA,0,0.9,0.9,0.046
1969-70,26,DNR,ABA,PG,83,2461,10.8,0.472,0.23,0.248,NA,NA,4.2,22.7,NA,19.3,16,NA,0.6,3.8,4.3,0.085
1970-71,27,TOT,ABA,PG,80,1562,7,0.428,0.181,0.197,NA,NA,4.1,20,NA,21.5,16,NA,-1.1,1.8,0.7,0.021
1970-71,27,UTS,ABA,PG,38,983,6.2,0.404,0.223,0.175,NA,NA,3.9,19.3,NA,20.6,17,NA,-1.2,1.4,0.2,0.011
1970-71,27,NYA,ABA,PG,42,579,8.4,0.481,0.087,0.247,NA,NA,4.6,21.2,NA,23.5,14.3,NA,0.1,0.3,0.4,0.037
1971-72,28,DLC,ABA,PG,20,261,9.8,0.422,0.081,0.233,3.1,7,5,19.5,NA,12.1,17.2,NA,-0.3,0.3,0,0.006
Career,NA,,ABA,,306,6283,8.6,0.447,0.176,0.225,3.1,7,4.3,20.5,NA,20.6,16.7,NA,-1.3,7.6,6.3,0.048
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DNR,ABA,,183,3838,9.5,0.458,0.192,0.243,NA,NA,4.2,21.3,NA,20.4,16.8,NA,0.1,5.3,5.4,0.067
2 seasons,NA,"ANA,UTS",ABA,,61,1605,6.5,0.418,0.18,0.178,NA,NA,4.3,18.3,NA,21.6,17.2,NA,-1.2,1.6,0.4,0.013
1 season,NA,NYA,ABA,,42,579,8.4,0.481,0.087,0.247,NA,NA,4.6,21.2,NA,23.5,14.3,NA,0.1,0.3,0.4,0.037
1 season,NA,DLC,ABA,,20,261,9.8,0.422,0.081,0.233,3.1,7,5,19.5,NA,12.1,17.2,NA,-0.3,0.3,0,0.006
