Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jeffrey Congdon,,4.3,0.9,0.7,0.3,0,NA,NA,NA
Ron Perry,82.1,4.4,1.4,0.3,NA,NA,NA,NA,NA
Ronnie Lester,76.9,3.9,1.7,0.7,0.2,0,-0.2,NA,NA
D'Angelo Russell,76.9,5,1.3,0.4,0,NA,NA,NA,NA
Malik Beasley,74.4,4.5,0.3,0.2,NA,NA,NA,NA,NA
Terry Dehere,73.7,5,1.2,1,0.5,0,-0.4,NA,NA
Arvesta Kelly,71.6,4.9,0.4,0.3,0,-0.1,NA,NA,NA
Jack McMahon,71.2,4.7,1.3,0.8,0.6,0,-0.2,-0.2,-0.7
Paul Thompson,70.9,3.7,1.1,0.1,NA,NA,NA,NA,NA
Earl Tatum,70.3,4.4,2.6,0.7,0,NA,NA,NA,NA
Stan Stutz,70.1,3.9,1.7,1.1,NA,NA,NA,NA,NA
