Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Terry Driscoll,,1.7,1.7,1.5,0.3,0,NA
Russ Schoene,86.6,1.8,1.7,1.3,-0.2,NA,NA
Johnny Baum,85.1,2,1.9,1.5,0.4,-0.1,NA
Thon Maker,82.5,2,1.5,1.3,NA,NA,NA
Charles Pittman,81.9,1.7,1.5,0.9,0.1,NA,NA
Taurean Waller-Prince,80.7,2,1.5,1.1,NA,NA,NA
Dominic McGuire,78.7,1.7,1.5,0.9,0.3,0,-0.2
Dorie Murrey,77.3,2.2,1.9,1.6,0.5,0.2,0.1
Jan Veselý,77.1,1.7,1.6,0.7,NA,NA,NA
Bob Brannum,76.9,2,1.6,1.1,0.8,0,NA
Austin Daye,75.8,2.1,1.6,1.3,0.1,0,-0.6
