Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dick Mehen,,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Wah Wah Jones,92.6,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Vern Gardner,85.0,5.9,1.6,-0.1,NA,NA,NA,NA,NA,NA
Irv Torgoff,78.5,5.4,1,0.1,NA,NA,NA,NA,NA,NA
Kevon Looney,77.7,6,2.8,1.4,0.1,NA,NA,NA,NA,NA
Don MacLean,75.4,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Andy Johnson,72.8,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
Donatas Motiejūnas,72.6,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA,NA
Dario Šarić,69.1,6.6,3.5,1,NA,NA,NA,NA,NA,NA
Landry Fields,69.0,5.3,3.4,1.1,0.4,0.3,NA,NA,NA,NA
Don May,68.9,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA
