,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,27,WAT,NBA,,13,,10,13,,,,30
1950-51,28,TOT,NBA,,8,,8,8,,,,20
1950-51,28,BLB,NBA,,7,,8,8,,,,20
1950-51,28,BOS,NBA,,5,,5,5,,,,13
1950-51,28,FTW,NBA,,8,,3,4,,,,19
1951-52,29,MLH,NBA,,11,,9,9,,,6,26
Career,,,,,13,,10,13,,,,30
1 Season,,MLH,NBA,,11,,9,9,,,6,26
1 Season,,WAT,NBA,,13,,10,13,,,,30
1 Season,,FTW,NBA,,8,,3,4,,,,19
1 Season,,BLB,NBA,,7,,8,8,,,,20
1 Season,,BOS,NBA,,5,,5,5,,,,13
