Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,27,WAT,NBA,PF,62,NA,NA,NA,NA,0.42,NA,NA,0.705,NA,NA,NA,NA
1950-51,28,TOT,NBA,PF,66,NA,NA,NA,NA,0.361,NA,NA,0.732,NA,NA,NA,NA
1950-51,28,BLB,NBA,PF,16,NA,NA,NA,NA,0.335,NA,NA,0.725,NA,NA,NA,NA
1950-51,28,BOS,NBA,PF,7,NA,NA,NA,NA,0.327,NA,NA,0.667,NA,NA,NA,NA
1950-51,28,FTW,NBA,PF,43,NA,NA,NA,NA,0.381,NA,NA,0.754,NA,NA,NA,NA
1951-52,29,MLH,NBA,PF,65,NA,2294,4.6,12.9,0.356,1.8,2.6,0.701,4.4,2.7,3.3,11
Career,NA,,NBA,,193,NA,2294,4.6,12.9,0.381,1.8,2.6,0.709,4.4,2.7,3.3,11
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MLH,NBA,,65,NA,2294,4.6,12.9,0.356,1.8,2.6,0.701,4.4,2.7,3.3,11
1 season,NA,WAT,NBA,,62,NA,NA,NA,NA,0.42,NA,NA,0.705,NA,NA,NA,NA
1 season,NA,FTW,NBA,,43,NA,NA,NA,NA,0.381,NA,NA,0.754,NA,NA,NA,NA
1 season,NA,BLB,NBA,,16,NA,NA,NA,NA,0.335,NA,NA,0.725,NA,NA,NA,NA
1 season,NA,BOS,NBA,,7,NA,NA,NA,NA,0.327,NA,NA,0.667,NA,NA,NA,NA
