Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim McElroy,,4.9,3.5,2.9,2.6,0.8,0.3,-0.9
Erick Strickland,87.6,4.9,3.8,2.7,1.3,0.8,0.3,-0.9
Devean George,87.3,4.2,3.4,2.7,2.6,0.7,0.3,-0.3
John Bagley,86.8,4.6,3,2.6,2.6,0.9,0.4,-0.2
Speedy Claxton,85.4,4.2,3.7,3,2.8,1.2,0,-0.7
Eric Money,85.1,4.2,3.6,3.3,2.7,0.6,0.3,NA
Avery Bradley,83.6,4.8,3.1,2.5,2.4,1.8,0.4,-0.5
Marco Belinelli,82.3,5.9,3.4,3,2.9,1.2,0.5,0
Carlos Arroyo,81.8,4.7,2.8,2.7,2.5,1.3,0.4,0.3
Ricky Davis,81.6,4.4,4.2,3,2.8,1.1,0.2,0.2
Greivis Vásquez,81.4,3.8,3.6,2.8,2.3,0.5,0,-0.3
