Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jim McElroy,,4.9,3.5,2.9,2.6,0.8,0.3,-0.9
Speedy Claxton,85.4,4.2,3.7,3,2.8,1.2,0,-0.7
Eric Money,85.1,4.2,3.6,3.3,2.7,0.6,0.3,NA
Greivis Vásquez,81.4,3.8,3.6,2.8,2.3,0.5,0,-0.3
Mitchell Wiggins,81.2,5.4,3.5,3.3,2,1.2,-0.1,NA
Marcus Smart,80.9,5.3,3.2,2.9,2.9,1.9,NA,NA
Whitey Skoog,80.1,4.1,3.6,2.9,1.9,1,0.7,NA
Dean Meminger,79.2,5,4.4,3.9,2.2,1,0.2,NA
Andre Roberson,78.6,4.2,3.4,2.2,2.1,0.8,NA,NA
Fred Jones,78.2,4.8,4,2.6,2.2,1.6,1.2,0
Al Skinner,78.2,4.9,3.3,2.1,1.8,1.2,0,NA
