Season,Team,Lg,Salary
1990-91,New Jersey Nets,NBA,"$525,000"
1991-92,New Jersey Nets,NBA,"$575,000"
1992-93,Atlanta Hawks,NBA,"$660,000"
1993-94,Atlanta Hawks,NBA,"$1,630,000"
1994-95,Atlanta Hawks,NBA,"$2,100,000"
1995-96,Atlanta Hawks,NBA,"$2,500,000"
1996-97,Atlanta Hawks,NBA,"$2,800,000"
1997-98,Atlanta Hawks,NBA,"$3,000,000"
1998-99,Atlanta Hawks,NBA,"$3,600,000"
1999-00,Golden State Warriors,NBA,"$4,200,000"
2000-01,Golden State Warriors,NBA,"$4,800,000"
2001-02,Golden State Warriors,NBA,"$5,400,000"
Career,(may be incomplete),,"$31,790,000"
