Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Toby Knight,,7.3,5.7,1.6,1.1,NA,NA,NA
Howie Dallmar,86.7,7,5.9,2.2,NA,NA,NA,NA
Jerami Grant,82.8,7.3,5.4,2.9,2.1,0.5,NA,NA
Art Heyman,80.3,8.5,6.1,2.7,1.3,0.6,0,NA
Domantas Sabonis,79.8,7.6,4.7,0.8,NA,NA,NA,NA
Julius Randle,78.9,6.6,6.1,3.5,1.6,-0.1,NA,NA
Stan McKenzie,78.6,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
Bob Lavoy,77.7,5.8,5.8,3.4,1,NA,NA,NA
Montrezl Harrell,77.1,8.7,5.5,4.1,0.9,NA,NA,NA
Bones McKinney,77.1,7.1,4.9,3.3,0.2,0,-0.2,NA
Willie Murrell,75.6,7,4.6,3.1,NA,NA,NA,NA
