Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Toby Knight,,7.3,5.7,1.6,1.1
Wil Jones,90.9,7.4,6,2.3,0.6
Joe Graboski,89.7,7.2,5.8,0.7,0.6
Troy Murphy,88.6,6.4,5.3,1.4,1.3
Cedric Ceballos,88.4,6.2,5.5,1.3,1.3
Howie Dallmar,86.7,7,5.9,2.2,NA
Antawn Jamison,85.8,6.7,6.4,2.3,1.4
Joe Ingles,85.3,7.6,5,2.3,2.2
Khris Middleton,85.0,6.7,6.1,2.7,0.9
David West,84.8,7.4,5.2,2.8,0.2
Markieff Morris,83.6,6.4,4.6,1.7,1.5
