Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,TOT,NBA,PG,67,NA,1055,5,11.5,0.437,3.1,4.2,0.735,0.5,1.5,1.9,9.8,3.2,0.1,NA,5.7,13.2,NA,NA,101
1973-74,24,BUF,NBA,PG,41,NA,606,4.3,10.6,0.4,3,4.3,0.7,0.5,1.6,2.1,9,2.3,0.1,NA,5.1,11.5,NA,NA,102
1973-74,24,HOU,NBA,PG,26,NA,449,6.1,12.8,0.48,3.3,4.2,0.786,0.4,1.3,1.7,11,4.3,0.1,NA,6.4,15.6,NA,NA,99
1974-75,25,HOU,NBA,PG,75,NA,1722,5.5,12.5,0.439,2.1,2.9,0.745,0.7,2.3,3,9.2,2,0.2,NA,5,13.1,NA,NA,102
1975-76,26,HOU,NBA,PG,50,NA,700,4.3,10.7,0.405,2.5,3.2,0.776,0.6,3.1,3.7,7.3,1.7,0.1,NA,7.3,11.1,NA,NA,104
1976-77,27,TOT,NBA,PG,51,NA,986,5.5,13.6,0.4,2.9,4.2,0.685,0.8,3.1,3.8,6.7,1.8,0.3,NA,5.4,13.8,NA,NA,102
1976-77,27,HOU,NBA,PG,14,NA,62,5.3,13,0.412,3.1,3.1,1,0.8,3.1,3.8,11.5,0,0,NA,13.8,13.8,NA,NA,108
1976-77,27,NYN,NBA,PG,37,NA,924,5.5,13.7,0.399,2.9,4.3,0.671,0.8,3.1,3.8,6.4,2,0.3,NA,4.9,13.8,NA,NA,101
1977-78,28,NJN,NBA,PG,10,NA,118,4.4,12.5,0.353,4,4.4,0.917,0.4,1.1,1.5,4.8,1.1,0,5.9,8.8,12.8,NA,75,106
Career,NA,,NBA,,253,NA,4581,5.2,12.2,0.423,2.6,3.6,0.737,0.6,2.4,3,8.4,2.2,0.2,0.2,5.7,13,NA,75,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,HOU,NBA,,165,NA,2933,5.3,12.1,0.438,2.4,3.2,0.766,0.6,2.4,3,9.1,2.3,0.2,NA,6,13.1,NA,NA,102
2 seasons,NA,"NYN,NJN",NBA,,47,NA,1042,5.3,13.5,0.394,3,4.3,0.701,0.7,2.8,3.5,6.2,1.9,0.3,0.7,5.3,13.7,NA,75,102
1 season,NA,BUF,NBA,,41,NA,606,4.3,10.6,0.4,3,4.3,0.7,0.5,1.6,2.1,9,2.3,0.1,NA,5.1,11.5,NA,NA,102
