Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marques Johnson,,12.2,11.5,11.2,10.7,10.6,8.6,6.2,5.9,2.7,0.1,0
Anthony Mason,91.2,11.6,11.4,11.3,9.3,8.9,8.6,7.4,5.6,4.9,0.1,-0.1
Blake Griffin,88.5,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA
Ben Wallace,88.2,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,3.6,2.9,-0.2
Elton Brand,87.6,14.8,13.6,11.5,10.6,9.7,7.6,7.5,6.1,3.5,0.9,0.5
Cliff Hagan,87.5,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,1.3
George McGinnis,87.3,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4
Kiki Vandeweghe,85.9,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2,1.2,0.8
Lou Hudson,85.4,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,2.7,2.2,0.8
Vern Mikkelsen,85.0,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA
Peja Stojaković,84.9,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,1.7,0.9
