,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,,10,16,,,,,3,6,,,5,,,6,23
1963-64,23,STL,NBA,,10,,,,,,3,5,,,,,,5,22
1964-65,24,STL,NBA,,5,12,,,,,5,5,,,2,3,,5,15
1967-68,27,PTP,ABA,,10,,4,,,,8,11,,,,,,,28
1968-69,28,MNP,ABA,,8,,6,,,,4,5,,,,,,,24
Career,,,TOT,,10,,,,,,8,11,,,,,,,28
,,,NBA,,10,,,,,,5,6,,,,,,6,23
,,,ABA,,10,,6,,,,8,11,,,,,,,28
,,,,,,,,,,,,,,,,,,,
3 Seasons,,STL,NBA,,10,,,,,,5,6,,,,,,6,23
2 Seasons,,"MNP,PTP",ABA,,10,,6,,,,8,11,,,,,,,28
