Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,SG,77,NA,1845,5.8,13.8,0.417,NA,NA,NA,5.8,13.8,0.417,3.7,5.1,0.72,NA,NA,5,4.9,NA,3.9,15.2
1963-64,23,STL,NBA,SG,68,NA,1340,6.4,14.5,0.442,NA,NA,NA,6.4,14.5,0.442,2.9,4,0.723,NA,NA,3.4,3.5,NA,4.5,15.7
1964-65,24,STL,NBA,SG,75,NA,1965,6.3,14.9,0.424,NA,NA,NA,6.3,14.9,0.424,3.3,4.4,0.752,NA,NA,3.2,2.9,NA,3.5,15.9
1965-66,25,TOT,NBA,PG,56,NA,1219,5.4,14,0.384,NA,NA,NA,5.4,14,0.384,3.1,4.3,0.736,NA,NA,3.2,4.1,NA,2.9,13.9
1965-66,25,STL,NBA,PG,19,NA,445,5.8,15.5,0.375,NA,NA,NA,5.8,15.5,0.375,3.7,5,0.742,NA,NA,3.7,2.9,NA,3.2,15.4
1965-66,25,DET,NBA,PG,37,NA,774,5.1,13.1,0.39,NA,NA,NA,5.1,13.1,0.39,2.8,3.8,0.732,NA,NA,2.9,4.8,NA,2.8,13
1966-67,26,DET,NBA,SG,51,NA,680,4.5,12,0.376,NA,NA,NA,4.5,12,0.376,2.6,3.9,0.676,NA,NA,3.5,4,NA,2.9,11.6
1967-68,27,PTP,ABA,SG,74,NA,2858,6.4,17,0.379,1.7,5.2,0.334,4.7,11.8,0.399,3.9,5.2,0.74,NA,NA,3.8,1.8,2.2,2.6,18.5
1968-69,28,MNP,ABA,SG,69,NA,2301,6.5,18.3,0.355,2.3,8.2,0.277,4.2,10.1,0.417,4,5.1,0.769,0.7,1.9,2.6,1.7,2.3,2.8,19.2
1969-70,29,PTP,ABA,SG,21,NA,401,5.9,16.2,0.367,2.2,7.4,0.293,3.8,8.8,0.429,4.3,6.3,0.686,1.5,1,2.5,2,2.1,4.8,18.3
Career,NA,,TOT,,491,NA,12609,6.1,15.6,0.392,2,6.6,0.301,5.2,12.7,0.412,3.5,4.8,0.738,0.8,1.8,3.5,2.9,2.2,3.3,16.6
,NA,,NBA,,327,NA,7049,5.8,14.1,0.415,NA,NA,NA,5.8,14.1,0.415,3.2,4.4,0.728,NA,NA,3.7,3.8,NA,3.6,14.9
,NA,,ABA,,164,NA,5560,6.4,17.5,0.368,2,6.6,0.301,4.4,10.9,0.408,3.9,5.3,0.747,0.8,1.8,3.2,1.8,2.2,2.8,18.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,239,NA,5595,6.1,14.5,0.422,NA,NA,NA,6.1,14.5,0.422,3.4,4.6,0.734,NA,NA,3.9,3.7,NA,3.8,15.6
3 seasons,NA,"PTP,MNP",ABA,,164,NA,5560,6.4,17.5,0.368,2,6.6,0.301,4.4,10.9,0.408,3.9,5.3,0.747,0.8,1.8,3.2,1.8,2.2,2.8,18.8
2 seasons,NA,DET,NBA,,88,NA,1454,4.8,12.6,0.384,NA,NA,NA,4.8,12.6,0.384,2.7,3.9,0.705,NA,NA,3.2,4.4,NA,2.8,12.4
