Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chico Vaughn,,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4
John Roche,89.1,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
Carlos Arroyo,88.9,4.7,3.7,2.8,2.7,2.5,1.3,0.4,0.3
Dell Curry,87.2,5,3.4,3.2,2.7,2,1.8,0.9,0.5
Lionel Hollins,85.9,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1
Todd Day,85.7,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1
Jerry Sichting,85.7,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3
Art Williams,85.4,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0
Keith Bogans,84.7,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Anthony Peeler,84.2,4.1,3.7,2.7,2.5,2.4,1.1,0.8,0.6
Greg Buckner,84.1,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3
