Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chico Vaughn,,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA,NA
John Roche,89.1,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,NA,NA
Todd Day,85.7,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,NA,NA
Art Williams,85.4,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA
Jerry Sichting,84.4,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
Frank Selvy,84.3,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA,NA
Tim Hardaway,83.9,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA,NA
Evan Fournier,83.5,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA
Malik Sealy,83.2,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA
T.J. Ford,83.1,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA
Herm Gilliam,83.1,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
