Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,22,STL,NBA,SG,11,314,9.9,0.51,NA,0.281,NA,NA,NA,13.4,NA,NA,NA,0.3,0.3,0.7,0.1
1963-64,23,STL,NBA,SG,12,242,11.3,0.467,NA,0.257,NA,NA,NA,13.2,NA,NA,NA,0.2,0.1,0.3,0.051
1964-65,24,STL,NBA,SG,4,75,6.6,0.384,NA,0.276,NA,NA,NA,18,NA,NA,NA,-0.1,0.1,0,-0.007
1967-68,27,PTP,ABA,SG,15,576,11,0.458,0.363,0.305,NA,NA,3.9,10.4,10.5,21,NA,0,0.3,0.3,0.029
1968-69,28,MNP,ABA,SG,5,57,12.4,0.424,0.568,0.189,NA,NA,4.8,2.7,2.4,26.5,NA,-0.1,0,0,-0.036
Career,NA,,TOT,,47,1264,10.6,0.463,0.22,0.281,NA,NA,3.9,11.8,9.6,21.5,NA,0.4,0.8,1.2,0.046
,NA,,NBA,,27,631,10,0.475,NA,0.27,NA,NA,NA,13.9,NA,NA,NA,0.4,0.5,0.9,0.069
,NA,,ABA,,20,633,11.1,0.454,0.389,0.29,NA,NA,3.9,9.7,9.6,21.5,NA,0,0.4,0.3,0.023
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,27,631,10,0.475,NA,0.27,NA,NA,NA,13.9,NA,NA,NA,0.4,0.5,0.9,0.069
2 seasons,NA,"PTP,MNP",ABA,,20,633,11.1,0.454,0.389,0.29,NA,NA,3.9,9.7,9.6,21.5,NA,0,0.4,0.3,0.023
