Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1962-63,22,STL,NBA,SG,77,1845,13.2,0.473,NA,0.369,NA,NA,NA,NA,NA,NA,NA,1,2.4,3.4,0.09
1963-64,23,STL,NBA,SG,68,1340,11.5,0.483,NA,0.275,NA,NA,NA,NA,NA,NA,NA,1.3,1.1,2.3,0.084
1964-65,24,STL,NBA,SG,75,1965,11.8,0.474,NA,0.298,NA,NA,NA,11.8,NA,NA,NA,1.8,1.7,3.4,0.084
1965-66,25,TOT,NBA,PG,56,1219,10.3,0.437,NA,0.304,NA,NA,NA,15.3,NA,NA,NA,-0.2,1,0.8,0.031
1965-66,25,STL,NBA,PG,19,445,10,0.433,NA,0.323,NA,NA,NA,11.3,NA,NA,NA,-0.2,0.3,0.1,0.01
1965-66,25,DET,NBA,PG,37,774,10.5,0.44,NA,0.291,NA,NA,NA,17.6,NA,NA,NA,-0.1,0.8,0.7,0.044
1966-67,26,DET,NBA,SG,51,680,9.1,0.425,NA,0.327,NA,NA,NA,14.2,NA,NA,NA,-0.4,0.7,0.4,0.026
1967-68,27,PTP,ABA,SG,74,2858,13.7,0.479,0.304,0.308,NA,NA,4.4,7.3,10,22.2,NA,3,1.9,4.9,0.082
1968-69,28,MNP,ABA,SG,69,2301,11.7,0.467,0.447,0.281,NA,NA,3.2,6.7,10.2,22.6,NA,0.3,2,2.3,0.049
1969-70,29,PTP,ABA,SG,21,401,11.2,0.484,0.456,0.389,NA,NA,3,7.3,9.8,21,NA,0.2,0.2,0.4,0.045
Career,NA,,TOT,,491,12609,12.1,0.47,0.186,0.309,NA,NA,3.8,9.6,10.1,22.3,NA,6.9,11,18,0.068
,NA,,NBA,,327,7049,11.6,0.465,NA,0.315,NA,NA,NA,13.4,NA,NA,NA,3.5,6.9,10.4,0.071
,NA,,ABA,,164,5560,12.7,0.474,0.376,0.302,NA,NA,3.8,7,10.1,22.3,NA,3.5,4.2,7.6,0.066
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,239,5595,12.1,0.472,NA,0.317,NA,NA,NA,11.7,NA,NA,NA,3.9,5.4,9.3,0.08
3 seasons,NA,"PTP,MNP",ABA,,164,5560,12.7,0.474,0.376,0.302,NA,NA,3.8,7,10.1,22.3,NA,3.5,4.2,7.6,0.066
2 seasons,NA,DET,NBA,,88,1454,9.8,0.434,NA,0.307,NA,NA,NA,16,NA,NA,NA,-0.4,1.5,1.1,0.035
