Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,SG,11,NA,28.5,4.2,8.7,0.479,NA,NA,NA,4.2,8.7,0.479,0.479,1.6,2.5,0.667,NA,NA,2.8,2.8,NA,4.2,10
1963-64,23,STL,NBA,SG,12,NA,20.2,3.6,8.4,0.426,NA,NA,NA,3.6,8.4,0.426,0.426,1.6,2.2,0.731,NA,NA,2.1,1.8,NA,2.6,8.8
1964-65,24,STL,NBA,SG,4,NA,18.8,2.3,7.3,0.31,NA,NA,NA,2.3,7.3,0.31,0.31,1.8,2,0.875,NA,NA,1.5,2.5,NA,3.5,6.3
1967-68,27,PTP,ABA,SG,15,NA,38.4,6,17.1,0.352,1.6,6.2,0.258,4.4,10.9,0.405,0.398,4.1,5.2,0.795,NA,NA,3.5,2.9,2.3,3.5,17.7
1968-69,28,MNP,ABA,SG,5,NA,11.4,2.2,7.4,0.297,1.2,4.2,0.286,1,3.2,0.313,0.378,1.2,1.4,0.857,NA,NA,1.2,0.2,0.2,1,6.8
Career,NA,,TOT,,47,NA,26.9,4.2,11,0.383,1.5,5.7,0.263,3.6,8.6,0.417,0.412,2.4,3.1,0.767,NA,NA,2.6,2.3,1.8,3.2,11.5
,NA,,NBA,,27,NA,23.4,3.6,8.4,0.434,NA,NA,NA,3.6,8.4,0.434,0.434,1.6,2.3,0.721,NA,NA,2.3,2.3,NA,3.4,8.9
,NA,,ABA,,20,NA,31.7,5.1,14.7,0.345,1.5,5.7,0.263,3.6,9,0.397,0.396,3.4,4.3,0.8,NA,NA,3,2.3,1.8,2.9,15
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,27,NA,23.4,3.6,8.4,0.434,NA,NA,NA,3.6,8.4,0.434,0.434,1.6,2.3,0.721,NA,NA,2.3,2.3,NA,3.4,8.9
2 seasons,NA,"PTP,MNP",ABA,,20,NA,31.7,5.1,14.7,0.345,1.5,5.7,0.263,3.6,9,0.397,0.396,3.4,4.3,0.8,NA,NA,3,2.3,1.8,2.9,15
