Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,SG,77,NA,1845,295,708,0.417,NA,NA,NA,295,708,0.417,0.417,188,261,0.72,NA,NA,258,252,NA,201,778
1963-64,23,STL,NBA,SG,68,NA,1340,238,538,0.442,NA,NA,NA,238,538,0.442,0.442,107,148,0.723,NA,NA,126,129,NA,166,583
1964-65,24,STL,NBA,SG,75,NA,1965,344,811,0.424,NA,NA,NA,344,811,0.424,0.424,182,242,0.752,NA,NA,173,157,NA,192,870
1965-66,25,TOT,NBA,PG,56,NA,1219,182,474,0.384,NA,NA,NA,182,474,0.384,0.384,106,144,0.736,NA,NA,109,140,NA,99,470
1965-66,25,STL,NBA,PG,19,NA,445,72,192,0.375,NA,NA,NA,72,192,0.375,0.375,46,62,0.742,NA,NA,46,36,NA,39,190
1965-66,25,DET,NBA,PG,37,NA,774,110,282,0.39,NA,NA,NA,110,282,0.39,0.39,60,82,0.732,NA,NA,63,104,NA,60,280
1966-67,26,DET,NBA,SG,51,NA,680,85,226,0.376,NA,NA,NA,85,226,0.376,0.376,50,74,0.676,NA,NA,67,75,NA,54,220
1967-68,27,PTP,ABA,SG,74,NA,2858,512,1350,0.379,137,410,0.334,375,940,0.399,0.43,308,416,0.74,NA,NA,298,142,171,203,1469
1968-69,28,MNP,ABA,SG,69,NA,2301,415,1170,0.355,145,523,0.277,270,647,0.417,0.417,253,329,0.769,44,121,165,107,150,178,1228
1969-70,29,PTP,ABA,SG,21,NA,401,66,180,0.367,24,82,0.293,42,98,0.429,0.433,48,70,0.686,17,11,28,22,23,53,204
Career,NA,,TOT,,491,NA,12609,2137,5457,0.392,306,1015,0.301,1831,4442,0.412,0.42,1242,1684,0.738,61,132,1224,1024,344,1146,5822
,NA,,NBA,,327,NA,7049,1144,2757,0.415,NA,NA,NA,1144,2757,0.415,0.415,633,869,0.728,NA,NA,733,753,NA,712,2921
,NA,,ABA,,164,NA,5560,993,2700,0.368,306,1015,0.301,687,1685,0.408,0.424,609,815,0.747,61,132,491,271,344,434,2901
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,239,NA,5595,949,2249,0.422,NA,NA,NA,949,2249,0.422,0.422,523,713,0.734,NA,NA,603,574,NA,598,2421
3 seasons,NA,"PTP,MNP",ABA,,164,NA,5560,993,2700,0.368,306,1015,0.301,687,1685,0.408,0.424,609,815,0.747,61,132,491,271,344,434,2901
2 seasons,NA,DET,NBA,,88,NA,1454,195,508,0.384,NA,NA,NA,195,508,0.384,0.384,110,156,0.705,NA,NA,130,179,NA,114,500
