Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,27,PTP,ABA,SG,1,NA,4:00,2,2,1,2,2,1,0,0,NA,0,0,0,1,0,6
Career,NA,,ABA,,1,NA,4,2,2,1,2,2,1,0,0,NA,0,0,0,1,0,6
