Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,SG,11,NA,314,5.3,11,0.479,NA,NA,NA,5.3,11,0.479,2.1,3.1,0.667,NA,NA,3.6,3.6,NA,5.3,12.6
1963-64,23,STL,NBA,SG,12,NA,242,6.4,15,0.426,NA,NA,NA,6.4,15,0.426,2.8,3.9,0.731,NA,NA,3.7,3.1,NA,4.6,15.6
1964-65,24,STL,NBA,SG,4,NA,75,4.3,13.9,0.31,NA,NA,NA,4.3,13.9,0.31,3.4,3.8,0.875,NA,NA,2.9,4.8,NA,6.7,12
1967-68,27,PTP,ABA,SG,15,NA,576,5.6,16,0.352,1.5,5.8,0.258,4.1,10.2,0.405,3.9,4.9,0.795,NA,NA,3.3,2.7,2.1,3.3,16.6
1968-69,28,MNP,ABA,SG,5,NA,57,6.9,23.4,0.297,3.8,13.3,0.286,3.2,10.1,0.313,3.8,4.4,0.857,NA,NA,3.8,0.6,0.6,3.2,21.5
Career,NA,,TOT,,47,NA,1264,5.7,14.8,0.383,1.7,6.5,0.263,4.8,11.5,0.417,3.2,4.2,0.767,NA,NA,3.4,3,2,4.2,15.4
,NA,,NBA,,27,NA,631,5.6,12.9,0.434,NA,NA,NA,5.6,12.9,0.434,2.5,3.5,0.721,NA,NA,3.5,3.5,NA,5.2,13.7
,NA,,ABA,,20,NA,633,5.7,16.7,0.345,1.7,6.5,0.263,4,10.2,0.397,3.9,4.8,0.8,NA,NA,3.4,2.6,2,3.3,17.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,27,NA,631,5.6,12.9,0.434,NA,NA,NA,5.6,12.9,0.434,2.5,3.5,0.721,NA,NA,3.5,3.5,NA,5.2,13.7
2 seasons,NA,"PTP,MNP",ABA,,20,NA,633,5.7,16.7,0.345,1.7,6.5,0.263,4,10.2,0.397,3.9,4.8,0.8,NA,NA,3.4,2.6,2,3.3,17.1
