Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris Smith,,1.2,1.1,0.9,NA,NA,NA,NA
Steve Harris,91.1,1.3,1.2,0.8,0,-0.1,NA,NA
Steve Henson,83.7,1.2,1.1,1,0.2,0.1,0,0
Dante Exum,83.2,1.2,1,0.7,-0.1,NA,NA,NA
Norris Cole,80.7,1.4,1.2,0.6,0,-0.1,-0.1,NA
Tommy Kron,80.1,1.3,0.8,0.8,-0.3,NA,NA,NA
Corky Devlin,79.9,1.8,1.2,0.8,NA,NA,NA,NA
Jimmy O'Brien,78.1,1.4,1.4,1,0.2,NA,NA,NA
Dirk Minniefield,74.4,1.9,1.1,1.1,NA,NA,NA,NA
Steve Alford,72.7,1.4,0.9,0.6,0.3,NA,NA,NA
Richie Frahm,72.1,1.5,1,0.5,-0.2,NA,NA,NA
