Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
George Hill,,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1
Reggie Theus,94.2,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.6,3.7,3.2,1.8
Randy Smith,93.8,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.4,2.2
Ron Boone,93.1,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,0.4
Dick Snyder,92.6,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.6
Byron Scott,92.5,10.7,7.7,6.9,6.8,6.6,6,6,5.2,3.3,3.1,2.7
Joe Johnson,91.8,8.4,7.6,7.6,7,6.4,6,5.1,4.2,3.3,3,2.8
Fred Brown,91.1,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,2.8,-0.9
Jason Richardson,90.6,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8
Brent Barry,89.5,12.1,7.5,7.3,6.1,5.8,5.7,4.9,4.3,2.7,2.1,1.6
Carl Braun,89.0,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3
