Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
George Hill,,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1,NA,NA,NA
Ron Boone,92.9,9.7,8.3,8.1,6.2,5.9,5.8,5.1,4,2.8,2.6,1,0.4,-0.6,NA
Randy Smith,91.7,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.5,2.4,2.2,NA,NA
Dick Snyder,91.6,10,8,6.4,6.2,6.2,6,4.1,3.7,3.4,1.8,0.9,0.9,0.6,NA
Fred Brown,89.8,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,NA
Jason Richardson,89.1,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4,0.4,NA
Larry Costello,88.5,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2,NA,NA
Allan Houston,88.5,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,NA,NA
Billy Knight,88.5,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4,NA,NA,NA
José Calderón,88.4,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,1.8,0.9,0.9,0.6,0.3
Carl Braun,88.2,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.5,0.4,NA
