Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Richard Anderson,,2.3,2.1,1.3,1,0.5,0.5,NA,NA,NA
Chuck Terry,83.5,2.3,2.1,1.2,0.7,0.1,NA,NA,NA,NA
Michael Ruffin,83.3,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Justin Holiday,80.7,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA,NA
James Singleton,79.7,3,2.3,1.1,1,0.7,NA,NA,NA,NA
Jeremy Evans,79.4,2.8,1.6,1.3,0.9,0.9,0.6,0,NA,NA
Joey Graham,79.4,3,2.2,1.3,1.1,0.3,0,NA,NA,NA
Lamar Green,79.4,2.4,2,1.9,0.5,0.4,0.2,NA,NA,NA
Jeff Ayres,78.9,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
Mark Alarie,78.6,3.1,2.2,1.5,0.9,0.6,NA,NA,NA,NA
Brady Walker,78.2,2.8,1.9,1.2,1,NA,NA,NA,NA,NA
