Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,STL,NBA,SG,44,NA,492,6.4,15.3,0.416,3,4.5,0.672,NA,NA,7.5,3.2,NA,NA,4.4,15.7
1965-66,23,STL,NBA,SG,44,NA,587,6.9,18.2,0.382,1.8,2.2,0.806,NA,NA,4.2,4,NA,NA,4.2,15.6
1966-67,24,SFW,NBA,SG,77,NA,1835,8.3,18,0.458,2.9,4.2,0.701,NA,NA,7.6,4.4,NA,NA,3.8,19.5
1967-68,25,SFW,NBA,SG,79,NA,2805,7.8,17.9,0.439,3.5,4.4,0.794,NA,NA,5.7,4.5,NA,NA,3.5,19.2
1968-69,26,SFW,NBA,SG,78,NA,2916,8.6,18.7,0.459,4.7,5.6,0.843,NA,NA,5.7,4.2,NA,NA,3.1,21.9
1969-70,27,SFW,NBA,SG,74,NA,2861,8.3,17.9,0.46,4,4.8,0.847,NA,NA,4.8,4.5,NA,NA,3,20.5
1970-71,28,SFW,NBA,SG,75,NA,2909,7.8,16.2,0.482,3.7,4.4,0.844,NA,NA,4.2,4.1,NA,NA,3,19.3
1971-72,29,GSW,NBA,SG,80,NA,3214,7.7,16.4,0.467,3.9,4.9,0.794,NA,NA,5,5.3,NA,NA,2.9,19.3
1972-73,30,GSW,NBA,SG,81,NA,3005,7.8,15.8,0.493,1.7,2.1,0.831,NA,NA,4.3,4,NA,NA,2.4,17.3
1973-74,31,GSW,NBA,SG,77,NA,2498,7.8,16.5,0.473,2.4,2.8,0.875,1.2,2.7,4,4.4,1,0.3,3.1,18
1974-75,32,GSW,NBA,SG,66,NA,1141,7.4,16.2,0.455,2.2,2.7,0.816,1.5,2.4,3.9,4.8,1.8,0.4,3.9,17
1975-76,33,GSW,NBA,SG,29,NA,311,6.7,13.9,0.483,2.7,3.4,0.793,1.4,2.3,3.7,4.5,1.6,0.1,4.2,16.1
Career,NA,,NBA,,804,NA,24574,7.9,17,0.463,3.3,4,0.814,1.3,2.6,5,4.4,1.3,0.3,3.2,19.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,"SFW,GSW",NBA,,716,NA,23495,7.9,17,0.466,3.3,4.1,0.818,1.3,2.6,5,4.5,1.3,0.3,3.1,19.2
2 seasons,NA,STL,NBA,,88,NA,1079,6.7,16.8,0.396,2.3,3.2,0.722,NA,NA,5.7,3.7,NA,NA,4.3,15.7
