,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,STL,NBA,,3,7,0,0,,,5,1,,,0,6
1965-66,23,STL,NBA,,1,7,1,2,,,3,0,,,5,3
1966-67,24,SFW,NBA,,17,32,10,12,,,14,7,,,6,40
1967-68,25,SFW,NBA,,16,,13,16,,,9,,,,,35
1968-69,26,SFW,NBA,,16,29,4,4,,,6,7,,,4,36
1970-71,28,SFW,NBA,,12,,8,10,,,,,,,,30
1971-72,29,GSW,NBA,,12,,5,6,,,,,,,,29
1972-73,30,GSW,NBA,,10,21,4,6,,,7,7,,,5,21
1974-75,32,GSW,NBA,,6,10,6,9,,,5,5,,,5,18
1975-76,33,GSW,NBA,,2,4,0,0,,,2,2,,,3,4
Career,,,,,17,,13,16,,,,,,,,40
8 Seasons,,"GSW,SFW",NBA,,17,,13,16,,,,,,,,40
2 Seasons,,STL,NBA,,3,7,1,2,,,5,1,,,5,6
