Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1968-69,26,SFW,NBA,SG,1,0,25:00,7,14,0.5,0,0,NA,NA,4,5,NA,NA,4,14
1969-70,27,SFW,NBA,SG,1,0,14:00,4,6,0.667,0,0,NA,NA,1,1,NA,NA,2,8
1970-71,28,SFW,NBA,SG,1,0,3:00,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0
Career,NA,,NBA,,3,0,42,11,20,0.55,0,0,NA,NA,5,6,NA,NA,6,22
