Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jeff Mullins,,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
Archie Clark,90.1,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA
Walter Davis,90.0,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
Kevin Martin,89.7,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1
Mike Conley,89.6,10,9.9,8.2,8,6.8,6.6,6.4,5.3,4.5,4,1.1,0.6
Donnie Freeman,89.4,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA
Gus Williams,89.4,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA
Fat Lever,89.1,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA
Bobby Wanzer,88.9,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA
Kyrie Irving,88.8,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA
Larry Costello,88.5,9.2,8.6,8.5,8,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2
