Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,STL,NBA,SG,2,NA,11,4,8,0.5,0,0,NA,NA,NA,6,1,NA,NA,0,8
1965-66,23,STL,NBA,SG,4,NA,13,1,9,0.111,1,2,0.5,NA,NA,4,0,NA,NA,5,3
1966-67,24,SFW,NBA,SG,15,NA,498,109,242,0.45,47,59,0.797,NA,NA,91,58,NA,NA,53,265
1967-68,25,SFW,NBA,SG,10,NA,390,110,211,0.521,31,43,0.721,NA,NA,44,49,NA,NA,36,251
1968-69,26,SFW,NBA,SG,6,NA,180,39,96,0.406,8,11,0.727,NA,NA,18,23,NA,NA,16,86
1970-71,28,SFW,NBA,SG,5,NA,205,30,85,0.353,22,25,0.88,NA,NA,32,24,NA,NA,13,82
1971-72,29,GSW,NBA,SG,5,NA,203,31,72,0.431,12,13,0.923,NA,NA,24,29,NA,NA,11,74
1972-73,30,GSW,NBA,SG,11,NA,409,72,168,0.429,21,29,0.724,NA,NA,46,43,NA,NA,32,165
1974-75,32,GSW,NBA,SG,17,NA,313,60,123,0.488,18,31,0.581,16,19,35,29,10,1,43,138
1975-76,33,GSW,NBA,SG,8,NA,33,6,16,0.375,0,0,NA,3,1,4,3,2,1,8,12
Career,NA,,NBA,,83,NA,2255,462,1030,0.449,160,213,0.751,19,20,304,259,12,2,217,1084
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,"SFW,GSW",NBA,,77,NA,2231,457,1013,0.451,159,211,0.754,19,20,294,258,12,2,212,1073
2 seasons,NA,STL,NBA,,6,NA,24,5,17,0.294,1,2,0.5,NA,NA,10,1,NA,NA,5,11
