Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Ennis Whatley,,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
Rick Adelman,88.3,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA
Sam Vincent,86.9,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
Matthew Dellavedova,86.7,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA
Greg Minor,85.6,3,2.1,1.7,0.8,0.6,NA,NA,NA,NA,NA
Gary Neal,85.2,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA
Quincy Pondexter,83.0,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA,NA
Jerian Grant,80.4,3.3,2.5,1.7,0.8,NA,NA,NA,NA,NA,NA
Kent Bazemore,79.4,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA
Quinton Ross,79.2,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA,NA,NA
Ken Charles,79.1,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA,NA
