Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jamison Brewer,,0.2,0,0,-0.3
Kevin Pritchard,-79.0,0.2,0.2,0.2,-0.2
Mike Price,-80.1,0.2,0.2,0.1,NA
Cliff Anderson,-83.4,0.4,0.1,0,-0.2
Bob Duffy,-83.5,0.3,0.1,0.1,NA
Lester Hudson,-83.5,0.2,0.1,0.1,-0.1
Anthony Roberson,-83.9,0.2,0.2,0.1,NA
Randy Woods,-85.2,0.3,0.2,0.1,0.1
Drew Barry,-86.2,0.3,0.2,0.1,NA
Derrick Dial,-86.3,0.4,0.1,0.1,0.1
Lance Blanks,-87.0,0.4,0.2,0.1,NA
