Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jamison Brewer,,0.2,0,0,-0.3
Jannero Pargo,-65.1,0.2,0.1,0.1,-0.1
Jimmy Oliver,-74.4,0.2,0.2,0,-0.1
Kevin Pritchard,-79.0,0.2,0.2,0.2,-0.2
Mike Price,-80.1,0.2,0.2,0.1,NA
Cliff Anderson,-83.4,0.4,0.1,0,-0.2
Bob Duffy,-83.5,0.3,0.1,0.1,NA
Lester Hudson,-83.5,0.2,0.1,0.1,-0.1
Anthony Roberson,-83.9,0.2,0.2,0.1,NA
Randy Woods,-85.2,0.3,0.2,0.1,0.1
Rusty LaRue,-85.7,0.3,0.3,0.1,-0.1
