Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Trey Lyles,,3.9,2.3,1.2,0.8,NA,NA,NA
Greg Kelser,92.7,3.9,2.5,1.4,0.8,0.1,0,NA
Ime Udoka,91.5,3.9,2.8,1.3,0.8,0,0,0
Mike Sweetney,90.2,3.8,2.1,1.4,0.4,NA,NA,NA
Tony Jaros,89.7,4.4,2.2,1.3,0.6,NA,NA,NA
Boštjan Nachbar,89.4,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Rondae Hollis-Jefferson,88.8,4.1,2.6,1.2,1.2,NA,NA,NA
Darren Daye,86.3,3.8,2.4,1.3,1.2,0.6,NA,NA
Don Boven,84.3,3.8,2.2,1.5,NA,NA,NA,NA
Willie Long,83.0,3.5,2.1,1.2,NA,NA,NA,NA
George Trapp,82.9,3.5,2.4,1.5,1,0.1,-0.2,NA
