Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Trey Lyles,,3.9,2.3,1.2,0.8
Darren Daye,95.3,3.8,2.4,1.3,0.6
Dave Budd,95.2,4.1,2.3,1.2,0.9
Scott Williams,92.3,3.9,2.3,1.7,0.9
Mike Sweetney,90.2,3.8,2.1,1.4,0.4
Anthony Bonner,89.8,4.1,2.4,1.6,0.7
Tony Jaros,89.7,4.4,2.2,1.3,0.6
Brandan Wright,89.0,3.5,1.9,1.1,0.8
Rondae Hollis-Jefferson,88.8,4.1,2.6,1.2,1.2
Luke Walton,87.6,3.8,2,1.6,0.5
Mirza Teletović,87.5,3.8,2.7,0.9,0.5
