Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bob Wilkerson,,3.2,2.9,0.9,0.7,0.7,0.2,-0.3,NA,NA
Shammond Williams,86.5,3.1,2.9,1.2,1,0.5,0.2,0,NA,NA
Quincy Pondexter,84.2,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA
Butch Carter,78.9,3,2.6,1.3,0.9,0.9,-0.2,NA,NA,NA
Ken Charles,77.7,3.3,3,2.3,0.6,0.6,NA,NA,NA,NA
Terry Furlow,75.5,3.3,2.8,1.1,0,NA,NA,NA,NA,NA
Pep Saul,75.1,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA
Shannon Brown,74.1,3.4,3.1,1.6,1.2,0.7,0.1,0,-0.3,-0.5
Langston Galloway,73.0,3.4,3.3,1.4,1.3,1.3,NA,NA,NA,NA
Reggie Bullock,72.4,4.2,3.1,1.2,1,0.2,0.1,NA,NA,NA
Ron Lee,72.4,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
