,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,PTP,ABA,,17,,0,,,,14,16,,,,,,,,,47
1968-69,26,MNP,ABA,,11,,2,,,,11,18,,,,,,,,,33
1969-70,27,PHO,NBA,,11,28,,,,,12,14,,,20,9,,,,5,34
1973-74,31,TOT,NBA,,8,16,,,,,5,6,,,14,5,,,,5,21
1973-74,31,LAL,NBA,,8,16,,,,,5,6,,,14,5,,,,5,21
Career,,,TOT,,17,,,,,,14,18,,,,,,,,,47
,,,NBA,,11,28,,,,,12,14,,,20,9,,,,5,34
,,,ABA,,17,,2,,,,14,18,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,"MNP,PTP",ABA,,17,,2,,,,14,18,,,,,,,,,47
1 Season,,PHO,NBA,,11,28,,,,,12,14,,,20,9,,,,5,34
1 Season,,LAL,NBA,,8,16,,,,,5,6,,,14,5,,,,5,21
